SECCION,RMH,PES,HAB,LENGUA,15-19,20-29,30-39,40-49,50-59,60-69,70-MAS,HOMBRES,MUJERES,JUNTS19,ERC19,PSC19,CUP19,ECP19,ABSTENCION19,JUNTS23,ERC23,PSC23,CUP23,ECP23,ACTIVEM23,ARA-PL23,VOX23,ABSTENCION23
17114301001,27548,22.5,2763,3,121,395,403,345,274,206,224,1223,1068,241,131,57,96,23,522,114,42,52,99,19,41,5,20,648
17114301002,32618,31.1,1443,1,61,174,174,202,140,118,227,625,631,199,95,34,64,22,299,150,34,37,69,11,23,13,7,385
17114301003,46573,36.0,2564,3,77,152,123,176,198,174,199,599,659,323,108,70,55,23,205,188,39,68,60,10,35,14,7,382
17114301004,48421,42.2,884,1,51,85,109,96,136,116,164,399,455,225,90,42,52,21,151,133,34,33,77,15,26,25,5,251
17114301005,41247,40.3,940,1,55,95,89,97,107,105,176,405,412,251,62,31,46,20,159,122,24,24,58,12,27,12,5,272
17114301006,30734,26.0,1055,3,52,115,135,150,116,77,169,474,490,162,68,53,47,14,167,75,27,44,53,13,26,9,11,275
17114301007,33266,27.9,1909,1,62,226,214,244,215,169,370,814,912,413,132,58,72,25,379,226,48,52,122,15,23,27,32,598
17114302001,38556,28.3,2323,1,126,207,252,347,361,304,402,1157,1124,529,304,119,107,55,460,269,117,130,111,32,79,36,51,845
17114302002,38312,28.9,2389,3,134,281,276,299,359,330,365,1150,1178,467,248,120,92,51,483,255,89,98,136,25,54,26,36,811
17114302003,32310,21.6,2058,3,134,269,241,314,281,184,201,968,907,238,152,119,65,33,470,126,60,111,65,17,39,19,42,632
17114302004,34764,17.9,1550,2,83,244,149,196,183,179,233,776,688,203,112,90,82,36,370,114,57,112,66,15,31,5,38,533
17114302005,35741,18.7,1379,2,50,164,152,144,193,208,221,656,656,166,107,178,36,36,305,107,43,169,37,16,43,4,36,477
17114303001,35647,25.2,1066,1,66,118,124,150,154,110,122,480,489,171,92,37,47,14,200,73,43,32,52,10,16,5,14,347
17114303002,41805,31.2,2051,3,92,213,247,296,266,294,295,956,1005,520,207,81,84,31,346,280,85,93,97,10,51,31,39,606
17114303003,40064,26.8,2564,3,139,274,290,364,365,345,443,1232,1277,542,232,11,137,42,470,264,84,118,124,23,45,37,10,862
17114304001,32648,19.9,2803,2,138,333,440,443,297,214,210,1368,1167,257,155,88,58,10,398,144,59,91,54,20,35,28,36,686
17114304002,32597,16.5,4636,2,251,736,741,639,528,350,316,2372,1885,314,192,157,111,53,684,135,83,136,118,35,54,21,61,1133
17114305001,39019,29.0,1593,1,99,175,184,245,217,199,199,794,751,316,186,66,82,22,318,184,59,62,106,10,52,27,27,510
17114305002,43217,36.7,1366,1,52,105,170,207,152,226,236,662,669,394,194,42,94,28,250,189,72,56,111,25,45,24,5,453
17114305003,37534,31.8,2747,3,149,288,350,368,320,271,374,1224,1264,502,253,77,177,39,527,286,87,67,186,25,59,26,30,871
17114305004,44599,37.0,2112,1,132,173,239,335,278,261,203,1015,967,456,239,110,116,36,272,255,95,143,178,28,49,5,5,483
